Titre;Genres Netflix;Casting;Note IMDb;Date d'ajout;Lien Netflix;Type
A Christmas Prince: The Royal Baby;Films jeunesse et famille|#|Films romantiques|#|Drames romantiques|#|Drames;Rose McIver|#|Ben Lamb|#|Alice Krige|#|Honor Kneafsey|#|Sarah Douglas|#|Andy Lucas|#|Raj Bajaj|#|Richard Ashton|#|Tahirah Sharif|#|Joel McVeagh|#|Theo Devaney|#|Kevin Shen|#|Momo Yeung|#|Crystal Yu|#|Billy Angel;5.3;2019-12-05;/title/81029841/;film
A Christmas Prince: The Royal Wedding;Films jeunesse et famille|#|Films romantiques|#|Drames romantiques|#|Drames;Rose McIver|#|Ben Lamb|#|Alice Krige|#|Simon Dutton|#|Honor Kneafsey|#|Sarah Douglas|#|Theo Devaney|#|John Guerrasio|#|Andy Lucas|#|Raj Bajaj|#|Richard Ashton|#|Billy Angel|#|Tahirah Sharif|#|Joel McVeagh;5.2;2018-11-30;/title/80238204/;film
À Coup Sûr;Comédies|#|Films français|#|Comédies françaises;Laurence Arné|#|Éric Elmosnino|#|Didier Bezace|#|Valérie Bonneton|#|Jérémy Lopez|#|Eric Boucher|#|Julia Faure|#|François Morel|#|Yolande Folliot|#|Loïc Corbery;NA;2019-05-01;/title/81097920/;film
À dix-sept ans;Comédies|#|Drames|#|Films espagnols;Biel Montoro|#|Nacho Sánchez|#|Lola Cordón|#|Itsaso Arana|#|Chani Martín|#|Iñigo Aranburu|#|Kandido Uranga|#|Javier Cifrián|#|Mamen Duch|#|Carolina Clemente|#|Jorge Cabrera|#|Daniel Fuster|#|Edgar Costas|#|Patxi Santamaría;7.3;2019-10-18;/title/80990336/;film
A Family Affair;Documentaires biographiques|#|Films documentaires|#|Films biographiques|#|Documentaires|#|Films néerlandais;Tom Fassaert;7.2;2016-10-15;/title/80089199/;film
A Gray State;Documentaires salués par la critique|#|Films documentaires|#|Films biographiques|#|Documentaires biographiques;NA;6.2;2017-12-24;/title/80190840/;film
À la folie;Films indépendants|#|Films romantiques|#|Drames romantiques|#|Drames;Anton Yelchin|#|Felicity Jones|#|Jennifer Lawrence|#|Charlie Bewley|#|Alex Kingston|#|Oliver Muirhead|#|Finola Hughes|#|Chris Messina|#|Ben York Jones|#|Jamie Thomas King;6.7;2019-09-15;/title/70167118/;film
À la recherche du bonheur;Drames sociaux|#|Drames|#|Films inspirés de faits réels;Will Smith|#|Jaden Smith|#|Thandie Newton|#|Brian Howe|#|James Karen|#|Dan Castellaneta|#|Kurt Fuller|#|Takayo Fischer;8.0;2019-07-01;/title/70044605/;film
A Mission in an Old Movie;Comédies|#|Films du Moyen-Orient;Edward|#|Fifi Abdo|#|Lotfy Labib|#|Madeleine Matar|#|Nahla Zaki|#|Ahmed Fathy|#|Said Tarabeek|#|Badriya Tolba|#|Eman El-Sayed;NA;2019-04-25;/title/81035869/;film
A Plastic Ocean;Documentaires|#|Films documentaires|#|Documentaires nature et écologie|#|Docus sciences et nature;Tanya Streeter;8.0;2019-10-04;/title/80164032/;film
A Remarkable Tale;Comédies|#|Films espagnols;Carmen Machi|#|Pepón Nieto|#|Kiti Mánver|#|Jon Kortajarena|#|Jimmy Castro|#|Ricardo Nkosi|#|Montse Pla|#|Malcolm Treviño-Sitté|#|Pepa Charro|#|Esperanza Elipe|#|Mariana Cordero|#|Txema Blasco;5.2;2019-11-01;/title/80245356/;film
A Royal Affair;Films d'époque|#|Films inspirés de faits réels|#|Drames romantiques|#|Drames historiques|#|Films danois|#|Films romantiques|#|Drames|#|Films inspirés de livres;Alicia Vikander|#|Mads Mikkelsen|#|Mikkel Boe Følsgaard|#|Trine Dyrholm|#|David Dencik|#|Thomas W. Gabrielsson|#|Cyron Melville|#|Bent Mejding|#|Harriet Walter|#|Laura Bro|#|Mikkel Boe Folsgaard;7.5;2018-07-13;/title/70232004/;film
A Single Man;Films LGBTQ|#|Films indépendants|#|Drames|#|Films inspirés de livres;Colin Firth|#|Julianne Moore|#|Nicholas Hoult|#|Ginnifer Goodwin|#|Matthew Goode|#|Paul Butler|#|Ryan Simpkins|#|Teddy Sears|#|Paulette Lamori|#|Jon Kortajarena;7.6;2019-05-04;/title/70117297/;film
A Street Cat Named Bob;Films inspirés de faits réels|#|Films british|#|Films biographiques|#|Drames|#|Films inspirés de livres;Luke Treadaway|#|Ruta Gedmintas|#|Joanne Froggatt|#|Anthony Head|#|Darren Evans|#|Beth Goddard|#|Nina Wadia;7.4;2018-03-14;/title/80131190/;film
À tous les garçons que j'ai aimés;Films romantiques|#|Romances pour ados|#|Films inspirés de livres|#|Comédies|#|Comédies romantiques|#|Films pour ados;Lana Condor|#|Noah Centineo|#|Janel Parrish|#|Anna Cathcart|#|Andrew Bachelor|#|Trezzo Mahoro|#|Madaleine Arthur|#|Israel Broussard|#|Emilija Baranac|#|John Corbett;7.2;2018-08-17;/title/80203147/;film
A Very Murray Christmas;Comédies|#|Musique et comédies musicales;Bill Murray|#|Miley Cyrus|#|George Clooney|#|Chris Rock|#|Amy Poehler|#|Michael Cera|#|Maya Rudolph|#|Rashida Jones|#|Jason Schwartzman|#|Paul Shaffer|#|Jenny Lewis|#|Phoenix;5.5;2015-12-04;/title/80042368/;film
A Week in Watts;Docus société et culture|#|Documentaires|#|Films documentaires;NA;6.4;2018-02-18;/title/80223123/;film
